flip_frac,tp,fp,tn,fn,precision,recall,f1
0.1,0,0,10,10,0.0,0.0,0.0
0.2,3,0,10,7,1.0,0.3,0.4615
0.3,10,0,10,0,1.0,1.0,1.0
0.4,10,0,10,0,1.0,1.0,1.0
0.5,10,0,10,0,1.0,1.0,1.0
