model_class,tp,fp,tn,fn,precision,recall,f1
FourKAE,10,10,0,0,0.5,1.0,0.6667
SixKAE,10,10,0,0,0.5,1.0,0.6667
EightKAE,10,6,4,0,0.625,1.0,0.7692
TenKAE,10,5,5,0,0.6667,1.0,0.8
TwelveKAE,10,7,3,0,0.5882,1.0,0.7407
