model_class,tp,fp,tn,fn,precision,recall,f1
FourKAE,10,10,0,0,0.5,1.0,0.6667
SixKAE,4,4,6,6,0.5,0.4,0.4444
EightKAE,10,10,0,0,0.5,1.0,0.6667
TenKAE,3,2,8,7,0.6,0.3,0.4
TwelveKAE,6,7,3,4,0.4615,0.6,0.5217
