model_class,tp,fp,tn,fn,precision,recall,f1
FourKAE,10,10,0,0,0.5,1.0,0.6667
SixKAE,6,4,6,4,0.6,0.6,0.6
EightKAE,10,10,0,0,0.5,1.0,0.6667
TenKAE,8,2,8,2,0.8,0.8,0.8
TwelveKAE,9,7,3,1,0.5625,0.9,0.6923
