model_class,tp,fp,tn,fn,precision,recall,f1
FourKAE,10,10,0,0,0.5,1.0,0.6667
SixKAE,10,10,0,0,0.5,1.0,0.6667
EightKAE,6,6,4,4,0.5,0.6,0.5455
TenKAE,9,8,2,1,0.5294,0.9,0.6667
TwelveKAE,3,1,9,7,0.75,0.3,0.4286
