n_seeds,model_class,size_label,precision,recall,f1
5,FourKCNN,4k,0.7402920000000001,0.868,0.7797
5,SixKCNN,6k,0.704028,0.932,0.784212
5,EightKCNN,8k,0.802808,0.848,0.788544
5,TenKCNN,10k,0.707604,0.96,0.777988
5,TwelveKCNN,12k,0.651176,0.9840000000000001,0.77282
