model_class,tp,fp,tn,fn,precision,recall,f1
FourKMLP,4,1,9,6,0.8,0.4,0.5333
SixKMLP,4,1,9,6,0.8,0.4,0.5333
EightKMLP,4,1,9,6,0.8,0.4,0.5333
TenKMLP,4,1,9,6,0.8,0.4,0.5333
TwelveKMLP,4,1,9,6,0.8,0.4,0.5333
