input_vec_size,tp,fp,tn,fn,precision,recall,f1
32,6,1,9,4,0.8571,0.6,0.7059
64,10,4,6,0,0.7143,1.0,0.8333
96,8,0,10,2,1.0,0.8,0.8889
128,8,0,10,2,1.0,0.8,0.8889
160,10,1,9,0,0.9091,1.0,0.9524
