input_vec_size,tp,fp,tn,fn,precision,recall,f1
32,8,5,5,2,0.6154,0.8,0.6957
64,9,9,1,1,0.5,0.9,0.6429
96,8,0,10,2,1.0,0.8,0.8889
128,9,1,9,1,0.9,0.9,0.9
160,9,2,8,1,0.8182,0.9,0.8571
