input_vec_size,tp,fp,tn,fn,precision,recall,f1
32,10,6,4,0,0.625,1.0,0.7692
64,10,5,5,0,0.6667,1.0,0.8
96,10,1,9,0,0.9091,1.0,0.9524
128,10,1,9,0,0.9091,1.0,0.9524
160,10,3,7,0,0.7692,1.0,0.8696
