input_vec_size,tp,fp,tn,fn,precision,recall,f1
32,10,8,2,0,0.5556,1.0,0.7143
64,10,8,2,0,0.5556,1.0,0.7143
96,9,0,10,1,1.0,0.9,0.9474
128,7,3,7,3,0.7,0.7,0.7
160,10,2,8,0,0.8333,1.0,0.9091
