input_vec_size,tp,fp,tn,fn,precision,recall,f1
32,8,4,6,2,0.6667,0.8,0.7273
64,10,7,3,0,0.5882,1.0,0.7407
96,9,0,10,1,1.0,0.9,0.9474
128,6,1,9,4,0.8571,0.6,0.7059
160,8,3,7,2,0.7273,0.8,0.7619
