input_vec_size,tp,fp,tn,fn,precision,recall,f1
32,9.0,3.5,6.5,1.0,0.743,0.9,0.803
64,9.8,6.8,3.2,0.2,0.594,0.98,0.739
96,8.9,0.5,9.5,1.1,0.955,0.89,0.916
128,7.7,0.9,9.1,2.3,0.907,0.77,0.823
160,9.5,2.1,7.9,0.5,0.822,0.95,0.88
