model_class,tp,fp,tn,fn,precision,recall,f1
FourKCNN,0,0,10,10,0.0,0.0,0.0
SixKCNN,5,0,10,5,1.0,0.5,0.6667
EightKCNN,0,0,10,10,0.0,0.0,0.0
TenKCNN,1,0,10,9,1.0,0.1,0.1818
TwelveKCNN,8,0,10,2,1.0,0.8,0.8889
